id,original,paraphrased
id_01905,"In patients with CLTI undergoing minor amputation (ie, inframalleolar level), a customized program of follow-up care that can include local wound care, pressure offloading, serial evaluation of foot biome- chanics, and use of therapeutic footwear is recommended to prevent wound recurrence.","For patients with CLTI undergoing minor amputation at the inframalleolar level, it is advised to implement a tailored follow-up care plan that may involve local wound management, pressure relief, regular assessment of foot biomechanics, and the use of therapeutic footwear to prevent wound recurrence."
id_02385,"In patients with type B IMH who require repair of the distal aortic arch or descending tho- racic aorta (zones 2-5) and have unfavorable anatomy for endovascular repair, open surgical repair is reasonable.2,3","For patients with type B IMH needing repair of the distal aortic arch or descending thoracic aorta (zones 2-5) and possessing anatomy unsuitable for endovascular repair, open surgical repair is a reasonable option."
id_01427,"In patients with CCD, targeted discussions and screening for mental health is reasonable for clini- cians to assess and to refer for additional mental health evaluation and management.1–4","For patients with CCD, it is appropriate for clinicians to engage in focused conversations and conduct mental health screenings to evaluate and refer them for further mental health assessment and treatment."
id_01426,"In patients with CCD, the use of nonprescription or dietary supplements, including omega-3 fatty acid, vitamins C, D, E, beta-carotene, and calcium, is not beneficial to reduce the risk of acute CVD events.11–22 *Modified from the 2019 ACC/AHA Guideline on the Primary Prevention of Cardiovascular Disease.23","For individuals with CCD, taking over-the-counter supplements or dietary additions such as omega-3 fatty acids, vitamins C, D, E, beta-carotene, and calcium does not effectively lower the risk of sudden cardiovascular disease events."
id_02386,"In patients with uncomplicated type B IMH and high-risk imaging features (Table 30), intervention may be reasonable.13-16","For patients with uncomplicated type B IMH who exhibit high-risk imaging characteristics (refer to Table 30), it might be appropriate to consider intervention.13-16"
id_00467,"In patients with acute chest pain and myocardial injury who have nonobstructive coronary arteries on anatomic testing, CMR with gadolinium contrast is effective to distinguish myopericarditis from other causes, including myocardial infarction and nonobstructive coronary arteries (MINOCA).1-6","For patients experiencing acute chest pain and myocardial injury with nonobstructive coronary arteries identified through anatomic testing, CMR with gadolinium contrast is useful in differentiating myopericarditis from other conditions, such as myocardial infarction and MINOCA."
id_01906,"For patients with CLTI, retrospective assessment of institutional outcomes (including amputation) with objective limb threat classification tools can be useful for quality improvement.","For individuals with CLTI, evaluating institutional outcomes retrospectively, such as amputation rates, using objective limb threat classification tools can aid in quality enhancement."
id_01907,Patients with ALI should be evaluated on an emergency basis by a clinician with sufficient experience to assess limb viability and implement appropriate therapy.,Patients experiencing ALI must be urgently assessed by a clinician who is experienced enough to determine limb viability and initiate suitable treatment.
id_02387,"In patients with PAU of the aorta with rupture, urgent repair is recommended.1-3","For patients experiencing a ruptured PAU of the aorta, immediate repair is advised."
id_02388,"In patients with PAU of the ascending aorta with associated IMH, urgent repair is recom- mended.1-3","For patients with an ascending aorta PAU accompanied by IMH, immediate surgical intervention is advised."
id_00468,"In patients with acute chest pain with suspected acute myopericarditis, CMR is useful if there is diagnostic uncertainty, or to determine the presence and extent of myocardial and pericardial inflammation and fibrosis.7-12","For patients experiencing acute chest pain with a suspicion of acute myopericarditis, CMR is beneficial when the diagnosis is uncertain or to assess the presence and extent of inflammation and fibrosis in the myocardium and pericardium."
id_01908,"In patients with suspected ALI, the initial clinical evaluation should rapidly assess limb viability and potential for salvage and can be achieved without noninvasive imaging (ie, duplex ultrasound, CTA, or MRA).1–6","For patients suspected of having ALI, promptly evaluate limb viability and salvage potential, which can be done without using noninvasive imaging techniques such as duplex ultrasound, CTA, or MRA."
id_00469,"In patients with acute chest pain and suspected myopericarditis, TTE is effective to determine the presence of ventricular wall motion abnormalities, pericardial effusion, valvular abnormalities, or restrictive physiology.","For patients experiencing acute chest pain with a suspicion of myopericarditis, TTE is useful for identifying ventricular wall motion abnormalities, pericardial effusion, valvular issues, or restrictive physiology."
id_01428,"In patients with CCD, treatment for mental health conditions with either pharmacologic or nonphar- macologic therapies, or both, is reasonable to improve cardiovascular outcomes.2,4–6","For patients with CCD, addressing mental health conditions using pharmacologic, nonpharmacologic, or a combination of therapies is advisable to enhance cardiovascular outcomes."
id_01909,"In patients with ALI who have a complicated history of revascularization procedures, it may be reason- able to obtain noninvasive imaging (ie, duplex ultra- sound, CTA, or MRA) before deciding to proceed with revascularization.","For patients with ALI and a complex history of revascularization, it might be advisable to perform noninvasive imaging, such as duplex ultrasound, CTA, or MRA, prior to making a decision on revascularization."
id_01429,"In patients with CCD, tobacco use should be assessed at every health care visit to facilitate identification of those who may benefit from behavioral or pharmacologic interventions.*1–3","For patients with CCD, evaluate tobacco use at each healthcare appointment to identify individuals who might benefit from behavioral or pharmacological treatments."
id_02389,"In patients with PAU of the aortic arch or descending thoracic aorta with associated IMH, urgent repair is reasonable.1-3","For patients with PAU in the aortic arch or descending thoracic aorta accompanied by IMH, it is advisable to consider urgent repair."
id_01430,Patients with CCD who regularly smoke tobacco should be advised to quit at every visit.*4,Patients with CCD who are habitual tobacco smokers should receive advice to stop smoking during each appointment.
id_00470,"In patients with acute chest pain with suspected acute pericarditis, noncontrast or contrast cardiac CT scanning may be reasonable to determine the presence and degree of pericardial thickening.7,8,13 Downloaded from http://ahajournals.org by on June 19, 2025","For patients experiencing acute chest pain with a suspicion of acute pericarditis, it might be appropriate to use either noncontrast or contrast cardiac CT scans to assess the presence and extent of pericardial thickening."
id_01910,"In patients with ALI and a salvageable limb, revascularization (endovascular or surgical, including catheter-directed thrombolysis) is indicated to prevent amputation.1–5","For patients with acute limb ischemia and a limb that can be saved, revascularization—whether endovascular, surgical, or through catheter-directed thrombolysis—is recommended to avert amputation."
id_02390,"In patients with PAU of the abdominal aorta with associated IMH, urgent repair may be considered.4","For patients with an abdominal aortic PAU accompanied by IMH, urgent repair might be considered."
id_00471,"In patients presenting with acute chest pain with suspected or known history of VHD, TTE is useful in determining the presence, severity, and cause of VHD.","For patients with acute chest pain and a suspected or known history of valvular heart disease, transthoracic echocardiography is beneficial for assessing the existence, severity, and etiology of the condition."
id_01431,"In patients with CCD who regularly smoke tobacco, behavioral interventions are recommended to maximize cessation rates in combination with pharmacotherapy, including bupropion, varenicline, or combination long- and short-acting nicotine replacement therapy (NRT).*5–7","For patients with CCD who are habitual tobacco smokers, it is advised to use behavioral interventions alongside pharmacotherapy, such as bupropion, varenicline, or a combination of long- and short-acting nicotine replacement therapies, to optimize cessation success."
id_02391,"In patients with isolated PAU who are symp- tomatic and have persistent pain that is clini- cally correlated with the radiologic findings, repair is recommended.1-3","For patients experiencing symptoms and ongoing pain that aligns with radiological findings of isolated PAU, repair is advised."
id_01911,"In patients with ALI and a salvageable limb who are treated with catheter-directed thrombolysis, adjunctive revascularization (ie, endovascular or surgical) procedures can be useful.","For patients with ALI and a limb that can be saved, catheter-directed thrombolysis may be complemented effectively by additional revascularization procedures, whether endovascular or surgical."
id_00472,"In patients presenting with acute chest pain with suspected or known VHD in whom TTE diagnostic quality is inadequate, TEE (with 3D imaging if available) is useful in determining the severity and cause of VHD.","For patients experiencing acute chest pain with suspected or confirmed VHD, when TTE does not provide sufficient diagnostic quality, TEE (preferably with 3D imaging if possible) is beneficial for assessing the severity and etiology of VHD."
id_02392,"In patients with isolated PAU who are asymp- tomatic but have high-risk imaging features (Table 31), elective repair may be consid- ered.1,2,4","For patients with isolated PAU who show no symptoms but present high-risk imaging characteristics (Table 31), elective repair can be contemplated."
id_01432,"In patients with CCD who regularly smoke tobacco, varenicline may be considered versus bupropion or NRT to increase cessation rates.6","For patients with CCD who are habitual tobacco smokers, varenicline can be considered as an alternative to bupropion or NRT to enhance cessation success rates."
id_01912,"In patients presenting with ALI from chemotherapeutic or prothrombotic viral states, it may be reasonable to take a more deliberate planning strategy before engaging in a definitive revascularization or medical treatment plan.6–14","For patients with ALI due to chemotherapy or prothrombotic viral conditions, it might be prudent to adopt a more careful planning approach prior to initiating a definitive revascularization or medical treatment strategy."
id_00473,"In patients presenting with acute chest pain with known or suspected VHD, CMR imaging is reasonable as an alternative to TTE and/or","For patients experiencing acute chest pain with confirmed or suspected valvular heart disease, using CMR imaging as a substitute for TTE is a reasonable option."
id_00474,"Patients with acute chest pain should be evaluated for noncardiac causes if they have persistent or recurring symptoms despite a negative stress test or anatomic cardiac evaluation, or a low-risk designation by a CDP.","If patients experience ongoing or recurrent acute chest pain despite a negative stress test, anatomic cardiac evaluation, or a low-risk classification by a CDP, they should be assessed for noncardiac causes."
id_01913,"Patients with ALI should be monitored and treated for compartment syndrome with fasciotomy after revascularization (endovascular or surgical, including catheter-directed thrombolysis) to prevent the sequelae of reperfusion injury and need for amputation.","After revascularization, whether endovascular or surgical, including catheter-directed thrombolysis, patients with ALI should be observed and managed for compartment syndrome using fasciotomy to avert reperfusion injury complications and avoid amputation."
id_02393,"In patients who require repair of a PAU in the ascending aorta or proximal aortic arch (zones 0-1), open surgical repair is ­recommended.","For patients needing repair of a PAU in the ascending aorta or proximal aortic arch (zones 0-1), open surgical repair is advised."
id_01433,"In patients with CCD who regularly smoke tobacco, the short-term use of nicotine-containing e-ciga- rettes may be considered to aid smoking cessation, although the risk of sustained use and unknown long-term safety may outweigh the benefits.8–10","For patients with CCD who are habitual tobacco smokers, short-term use of nicotine e-cigarettes might be an option to support quitting smoking, but the potential for ongoing use and uncertain long-term safety could surpass the advantages."
id_01434,"Patients with CCD should avoid secondhand smoke exposure to reduce risk of cardiovascular events.*11,12 *Modified from the 2019 ACC/AHA Guideline on the Primary Prevention of Cardiovascular Disease.13",Individuals with CCD are advised to steer clear of secondhand smoke to lower the likelihood of cardiovascular incidents.
id_01914,"In patients with ALI with a threatened but salvageable limb (ie, category IIa or IIb), prophylactic fasciotomy is reasonable based on the clinical findings.1,2","For patients with ALI who have a limb at risk but potentially recoverable (category IIa or IIb), considering prophylactic fasciotomy is justifiable according to clinical assessment."
id_00475,"In patients with recurrent acute chest pain without evidence of a cardiac or pulmonary cause, evaluation for gastrointestinal causes is reasonable.","For patients experiencing repeated episodes of acute chest pain with no cardiac or pulmonary origin, it is advisable to investigate potential gastrointestinal causes."
id_01435,Patients with CCD should be routinely asked and counseled about substance use to reduce ASCVD events.1–5,Patients with CCD should regularly be inquired about and advised on substance use to lower the risk of ASCVD events.
id_02394,"In patients who require repair of a PAU in the distal aortic arch (zones 2-3), descend- ing thoracic aorta, or abdominal aorta, either open surgical repair1-3 or endovascular repair is reasonable, based on anatomy and medical comorbidities.4-6","For patients needing repair of a PAU in the distal aortic arch (zones 2-3), descending thoracic aorta, or abdominal aorta, it is appropriate to consider either open surgical repair or endovascular repair, depending on anatomical considerations and medical comorbidities."
id_01916,"In patients with ALI, regardless of cause or anatomic level of occlusion, systemic anticoagulation with unfractionated heparin should be administered on diagnosis unless contraindicated.","For patients diagnosed with ALI, systemic anticoagulation using unfractionated heparin should be initiated at the time of diagnosis, unless there are contraindications, irrespective of the occlusion's cause or location."
id_01915,"In patients with ALI and prolonged ischemia in whom revascularization (endovascular or surgical, including catheter-directed thrombolysis) is performed, concur- rent and early amputation can be beneficial to avoid the morbidity of reperfusion.","For patients with ALI and extended ischemia undergoing revascularization (whether endovascular, surgical, or catheter-directed thrombolysis), early and simultaneous amputation may help prevent the complications associated with reperfusion."
id_02395,"In patients with BTTAI, management and treatment at a trauma center with the facili- ties and expertise to treat aortic pathology is recommended.","For patients with BTTAI, it is advised to seek care and treatment at a trauma center equipped with the necessary facilities and expertise for aortic pathology."
id_01436,"In patients with CCD who consume alcohol, it is reasonable to limit alcohol intake (≤1 drink/d for women, ≤2 drinks/d for men) to reduce cardiovascular and all-cause death.6–8","For patients with CCD who drink alcohol, it is advisable to restrict alcohol consumption to no more than 1 drink per day for women and 2 drinks per day for men to lower the risk of cardiovascular and overall mortality."
id_00476,"For patients with recurrent, similar presentations for acute chest pain with no evidence of a physiological cause on prior diagnostic evaluation including a negative workup for myocardial ischemia, referral to a cognitive-behavioral therapist is reasonable.1-14","For patients experiencing repeated episodes of acute chest pain with no physiological cause found in previous diagnostic assessments, including a negative evaluation for myocardial ischemia, it is appropriate to refer them to a cognitive-behavioral therapist."
id_02396,"In patients with BTTAI, anti-impulse therapy to reduce the risk of injury extension and rupture should be implemented, except in patients with hypotension or hypovolemic shock.1,2 Downloaded from http://ahajournals.org by on June 19, 2025","For patients with BTTAI, anti-impulse therapy should be applied to minimize the risk of injury extension and rupture, except for those experiencing hypotension or hypovolemic shock."
id_00477,"In patients with sickle cell disease who report acute chest pain, emergency transfer by EMS to an acute care setting is recommended.1-5","For patients with sickle cell disease experiencing sudden chest pain, it is advised to arrange emergency transport via EMS to a facility equipped for acute care."
id_01917,"In patients with ALI, a comprehensive medical history and physical examination should be performed to determine the cause of thrombosis or embolization.","For patients with ALI, a thorough medical history and physical exam are necessary to identify the cause of thrombosis or embolization."
id_01437,"Patients with CCD should not be advised to consume alcohol for the purpose of cardiovascular protection. 9,10 Downloaded from http://ahajournals.org by on June 19, 2025",Individuals with CCD should not be encouraged to drink alcohol as a means of safeguarding cardiovascular health.
id_00478,"In patients with sickle cell disease who report acute chest pain, ACS should be excluded.3-5","For patients with sickle cell disease experiencing acute chest pain, it is essential to rule out ACS."
id_01918,"In patients with ALI, testing for a cardiovascular cause of thromboembolism can be useful.1–4 Downloaded from http://ahajournals.org by on June 19, 2025","For patients with ALI, evaluating for a cardiovascular origin of thromboembolism may be beneficial."
id_02397,"In patients with grade 1 BTTAI (Figure 23), nonoperative management and follow-up imaging are recommended.1,2","For patients with grade 1 BTTAI (refer to Figure 23), it is advised to manage without surgery and conduct follow-up imaging."
id_01438,"In patients with CCD, it is reasonable to individual- ize resumption of sexual activity based on type of sexual activity, exercise capacity, and postproce- dural healing.*1,2","For patients with CCD, tailoring the recommencement of sexual activity according to the type of activity, exercise tolerance, and recovery after procedures is advisable."
id_02398,"In patients with grade 3 to 4 BTTAI (Figure 23) and nonprohibitive comorbidities or inju- ries, aortic intervention is recommended.1,3","For patients with grade 3 to 4 BTTAI and manageable comorbidities or injuries, aortic intervention is advised."
id_00479,"For patients with stable chest pain and no known CAD presenting to the outpatient clinic, a model to estimate pretest probability of obstructive CAD is effective to identify patients at low risk for obstructive CAD and favorable prognosis in whom additional diagnostic testing can be deferred.1-5","In patients with stable chest pain and no history of CAD visiting an outpatient clinic, using a model to assess the pretest probability of obstructive CAD effectively identifies those at low risk for obstructive CAD and with a favorable prognosis, allowing for the postponement of further diagnostic tests."
id_02399,"In patients with grade 2 BTTAI (Figure 23) and with high-risk imaging features (Table 32), aortic intervention is reasonable.3,4","For patients with grade 2 BTTAI who exhibit high-risk imaging characteristics, considering aortic intervention is appropriate."
id_01439,"In patients with CCD, cardiac rehabilitation and regular exercise can be useful to reduce the risk of cardiovascular complications with sexual activity.*3","For individuals with CCD, engaging in cardiac rehabilitation and consistent exercise may help lower the risk of cardiovascular issues during sexual activity."
id_00480,"For patients with stable chest pain and no known CAD categorized as low risk, CAC testing is reasonable as a first-line test for excluding calcified plaque and identifying patients with a low likelihood of obstructive CAD.6-9","For patients experiencing stable chest pain without known coronary artery disease and classified as low risk, it is appropriate to use CAC testing initially to rule out calcified plaque and determine those unlikely to have obstructive CAD."
id_01919,"In patients with PAD, with or without revascularization, longitudinal follow-up with routine clinical evaluation, including assessment of limb symptoms and functional status, lower extremity pulse and foot assessment, and progress of risk factor management, is recommended.","For patients with PAD, whether they have undergone revascularization or not, it is advised to conduct regular follow-up appointments that include evaluating limb symptoms and functional status, checking lower extremity pulses and foot health, and monitoring the management of risk factors."
id_01440,"In patients with CCD, phosphodiesterase type 5 inhibi- tors should not be used concomitantly with nitrate medications because of risk for severe hypotension.*4 *Modified from the 2012 AHA Scientific Statement on Sexual Activity and Cardiovascular Disease.5","For patients with CCD, avoid using phosphodiesterase type 5 inhibitors alongside nitrate drugs due to the potential for significant hypotension."
id_01920,"In patients with PAD, coordination of care among clinicians to improve the management of PAD and comorbid conditions and to optimize patient outcomes is recommended. Functional Status and QOL","For patients with PAD, it is advised that healthcare providers collaborate to enhance the treatment of PAD and associated conditions, aiming to improve patient outcomes, functional status, and quality of life."
id_00001,A first aid provider who is assisting a person with a potentially serious illness or injury should immediately activate the emergency response system.,A first aid responder aiding someone with a potentially severe illness or injury should promptly call the emergency response system.
id_02400,"In patients with grade 2 BTTAI (Figure 23) and without high-risk imaging features (Table 32), nonoperative management and follow-up surveillance imaging may be ­reasonable.3,4","For patients with grade 2 BTTAI (refer to Figure 23) who do not exhibit high-risk imaging characteristics (see Table 32), it may be appropriate to consider nonoperative management along with follow-up surveillance imaging."
id_01921,"In patients with PAD, with or without revascularization, periodic assessment of functional status as well as overall health-related QOL as a component of longitudinal follow-up is recommended.1–6 Medical Therapy","For patients with PAD, regardless of revascularization status, it is advised to regularly evaluate both functional status and overall health-related quality of life as part of ongoing follow-up."
id_02401,"In patients with BTTAI who meet indica- tions for repair and with appropriate anat- omy, TEVAR is recommended over open repair.1-3","For patients with BTTAI who qualify for repair and have suitable anatomy, TEVAR is advised instead of open repair."
id_00002,A first aid provider who is assisting a person with a potentially serious illness or injury should remain with the person until trained rescuers arrive as long as it is safe to do so.,"A first aid provider should stay with an individual experiencing a potentially serious illness or injury until professional help arrives, provided it is safe to remain."
id_00481,"For patients with stable chest pain and no known CAD categorized as low risk, exercise testing without imaging is reasonable as a first-line test for excluding myocardial ischemia and determining functional capacity in patients with an interpretable ECG.10","For patients with stable chest pain and no known coronary artery disease who are considered low risk, it is appropriate to use exercise testing without imaging as an initial test to rule out myocardial ischemia and assess functional capacity, provided the ECG is interpretable."
id_01441,"In patients with CCD, high-intensity statin ther- apy is recommended with the aim of achieving a ≥50% reduction in LDL-C levels to reduce the risk of MACE.*1–3","For patients with CCD, it is advised to use high-intensity statin therapy to lower LDL-C levels by at least 50% in order to decrease the risk of MACE."
id_00482,"For intermediate-high risk patients with stable chest pain and no known CAD, CCTA is effective for diagnosis of CAD, for risk stratification, and for guiding treatment decisions.1-12 Stress Testing","For patients at intermediate to high risk who have stable chest pain and no known coronary artery disease, coronary CT angiography is effective for diagnosing coronary artery disease, assessing risk, and guiding treatment decisions."
id_01922,"In patients with PAD, long-term use of GDMT to prevent MACE and MALE is recommended.7–12 Postrevascularization Follow-Up","For patients with PAD, it is advised to use GDMT over the long term to prevent MACE and MALE."
id_01442,"In patients in whom high-intensity statin therapy is contraindicated or not tolerated, moderate-intensity statin therapy is recom- mended with the aim of achieving a 30% to 49% reduction in LDL-C levels to reduce the risk of MACE.*2,4–8","For patients who cannot undergo high-intensity statin therapy due to contraindications or intolerance, it is advised to use moderate-intensity statin therapy to achieve a 30% to 49% reduction in LDL-C levels, thereby lowering the risk of MACE."
id_02402,"In patients with grade 1 to 2 BAAI (Table 33) without malperfusion, anti- impulse therapy, if clinically tolerated, and repeat imaging within 24 to 48 hours of the initial scan is recommended to reduce risk of injury progression.1","For patients with grade 1 to 2 BAAI (Table 33) who do not have malperfusion, it is advised to administer anti-impulse therapy, if tolerated, and to perform follow-up imaging 24 to 48 hours after the initial scan to minimize the risk of injury progression."
id_00483,"For intermediate-high risk patients with stable chest pain and no known CAD, stress imaging (stress echocardiography, PET/SPECT MPI or CMR) is effective for diagnosis of myocardial ischemia and for estimating risk of MACE.8,13-35","For patients at intermediate to high risk with stable chest pain and no known coronary artery disease, stress imaging techniques such as stress echocardiography, PET/SPECT MPI, or CMR are effective for diagnosing myocardial ischemia and assessing the risk of major adverse cardiac events."
id_00003,"If the area is unsafe, the first aid provider should move an ill or injured person to a safe location if possible and safe for the first aid provider to do so.","If the environment is hazardous, the first aid provider should relocate the ill or injured individual to a secure place, provided it is feasible and safe for the provider."
id_01443,"In patients with CCD, adherence to changes in lifestyle and effects of lipid-lowering medication should be assessed by measurement of fasting lipids in 4 to 12 weeks after statin initiation or dose adjustment and then every 3 to 12 months thereafter based on need to assess response or adherence to therapy.*2,9–11 Cost Value Statement: High Value B-NR","For patients with CCD, evaluate lifestyle modifications and the impact of lipid-lowering drugs by measuring fasting lipids 4 to 12 weeks after starting or adjusting statin doses, and subsequently every 3 to 12 months as necessary to monitor therapy response or adherence."
id_02403,"In patients with grade 4 BAAI (Table 33), repair should be performed to address life- threatening aortic injury.2-4","For patients with grade 4 BAAI (refer to Table 33), surgical intervention is necessary to treat the life-threatening aortic injury."
id_00004,"If a person has been injured, is responsive, and is breathing normally and the nature of the injury suggests a neck, back, hip, or pelvic injury, the person should be left in the position in which they were found to avoid potential further injury unless the area is unsafe.","In cases where an individual is injured, conscious, and breathing normally, and the injury indicates possible neck, back, hip, or pelvic damage, they should remain in their current position to prevent further harm, unless the location poses a danger."
id_00484,"For intermediate-high risk patients with stable chest pain and no known CAD for whom rest/stress nuclear MPI is selected, PET is reasonable in preference to SPECT, if available to improve diagnostic accuracy and decrease the rate of nondiagnostic test results.36-39","For patients at intermediate to high risk with stable chest pain and no known coronary artery disease, choosing PET over SPECT for rest/stress nuclear MPI is advisable, if accessible, to enhance diagnostic precision and reduce nondiagnostic outcomes."
id_01923,"In patients with PAD who have undergone lower extremity revascularization (ie, surgical and/or endo- vascular), longitudinal follow-up that includes periodic clinical evaluation of lower extremity symptoms and pulse and foot assessment is recommended.13–16","For patients with PAD who have had lower extremity revascularization, it is advised to conduct ongoing follow-up that involves regular clinical evaluation of symptoms in the lower extremities, as well as assessment of pulses and feet."
id_02404,"In patients with grade 2 BAAI (Table 33) and associated malperfusion, it is reasonable to consider repair.1","For patients with grade 2 BAAI (refer to Table 33) who have malperfusion, considering repair is a reasonable option."
id_01924,"In patients with PAD who have undergone lower extremity revascularization (ie, surgical, endovascular, or both) with new lower extremity signs or symptoms, ABI and arterial duplex ultrasound is recommended.14,17–20","For patients with PAD who have had lower extremity revascularization, whether surgical, endovascular, or both, and present with new signs or symptoms in the lower extremities, it is advised to perform ABI and arterial duplex ultrasound."
id_01444,"In patients with CCD who are judged to be at very high risk (Table 10) and on maximally tol- erated statin therapy with an LDL-C level ≥70 mg/dL (≥1.8 mmol/L), ezetimibe can be ben- eficial to further reduce the risk of MACE.*14–19 Cost Value Statement: High Value B-NR","For patients with CCD assessed as very high risk (refer to Table 10) and receiving the highest tolerable dose of statins with an LDL-C level of 70 mg/dL (1.8 mmol/L) or higher, adding ezetimibe may help further decrease the risk of MACE.*14–19 Cost Value Statement: High Value B-NR"
id_00485,"For intermediate-high risk patients with stable chest pain and no known CAD with an interpretable ECG and ability to achieve maximal levels of exercise (≥5 METs), exercise electrocardiography is reasonable.8,13,15,40-45","Exercise electrocardiography is appropriate for patients at intermediate to high risk who have stable chest pain, no known coronary artery disease, an interpretable ECG, and can reach maximal exercise levels of at least 5 METs."
id_00006,Individuals who are ill or injured should be protected from hyperthermia or hypothermia due to exposure.,People who are sick or injured should be safeguarded against excessive heat or cold exposure.
id_02405,"In patients with BAAI, treatment with either endovascular or open repair is reasonable and depends on degree of injury, aortic anatomy, and the patient’s overall clinical status.1-4","For patients with BAAI, choosing between endovascular or open repair is appropriate and should be based on the severity of the injury, the anatomy of the aorta, and the patient's overall clinical condition."
id_00005,"An awake and alert person who is having difficulty breathing should be allowed to assume a position most comfortable for breathing, which will be sitting up in most situations.","A conscious and alert individual experiencing breathing difficulties should be permitted to adopt the most comfortable position for breathing, typically sitting upright."
id_01445,"In patients with CCD who are judged to be at very high risk (Table 10) and who have an LDL-C level ≥70 mg/dL (≥1.8 mmol/L), or a non–high-density lipoprotein cholesterol (HDL-C) level ≥100 mg/dL (≥2.6 mmol/L), on maximally tolerated statin and ezetimibe, a PCSK9 monoclonal antibody can be beneficial to further reduce the risk of MACE.*22–29 Cost Value Statement: Uncertain B-NR","For patients with CCD assessed as very high risk (refer to Table 10) and having an LDL-C level of 70 mg/dL (1.8 mmol/L) or higher, or a non-HDL-C level of 100 mg/dL (2.6 mmol/L) or higher, despite being on the highest tolerated doses of statins and ezetimibe, using a PCSK9 monoclonal antibody may help further decrease the risk of MACE.*22–29 Cost Value Statement: Uncertain B-NR"
id_01925,"In patients with PAD who have undergone infrain- guinal, autogenous vein bypass graft(s) without new lower extremity signs or symptoms, it is reasonable to perform ABI and arterial duplex ultrasound surveillance within the first 1 to 3 months postprocedure, then repeat at 6 and 12 months, and then annually.13,14,20–22","For patients with PAD who have had infrain- guinal autogenous vein bypass grafts and show no new symptoms in the lower extremities, it is advisable to conduct ABI and arterial duplex ultrasound monitoring within 1 to 3 months after the procedure, followed by assessments at 6 and 12 months, and then yearly thereafter."
