id,Year,Page,COR,LOE,Recommendation,SourceFile
id_00029,2024,20,Class 1,C-EO,A first aid provider should assist a person experi- encing anaphylaxis to use their autoinjector if assistance is required.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00030,2024,20,Class 1,C-EO,"If a person experiences anaphylaxis, the emer- gency response system should be activated.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00031,2024,20,2B,B-NR,"If a person with anaphylaxis does not respond to the initial dose of epinephrine and arrival of EMS will exceed 5 to 10 minutes, a repeat dose may be considered. Recommendation-Specific Supportive Text",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00032,2024,21,Class 1,C-LD,"First aid providers should activate EMS for individuals with first-time seizure; seizures last- ing >5 minutes; >1 seizure that occurs without the person returning to baseline mental status in between; seizures occurring in the water; seizures with traumatic injuries, difficulty breathing, or choking; seizure in an infant <6 months of age; seizure in pregnant individuals; or if the individual does not return to baseline within 5 to 10 minutes once seizure activity has stopped.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00033,2024,21,Class 1,C-EO,"First aid providers should minimize the risk of injury to the individual who is having a seizure by helping the person to the ground, placing the person on their side in the recovery position, and clearing the area around them.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00034,2024,21,Class 1,C-EO,"First aid providers should stay with the person having a seizure. Downloaded from http://ahajournals.org by on June 19, 2025",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00035,2024,22,Class 3: No Benefit,B-R,"For children who have experienced a febrile seizure, administration of antipyretics such as acetaminophen, ibuprofen, or paracetamol is not effective for stopping a seizure or preventing a subsequent febrile seizure.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00036,2024,22,Class 3: Harm,C-EO,The person having the seizure should not be restrained.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00037,2024,22,Class 3: Harm,C-EO,"Nothing should be put in the mouth and no food, liquids, or oral medicines should be given to a person who is experiencing a seizure or who has decreased responsiveness after a seizure. Recommendation-Specific Supportive Text",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00038,2024,23,Class 1,C-LD,"For a person with suspected hypoglycemia who is awake and able to swallow, the first aid provider should encourage the person to swallow oral glucose.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00039,2024,23,Class 1,C-EO,"EMS should be activated for a person with hypoglycemia who is unable to swallow, has a seizure, or does not improve within 10 minutes of oral glucose administration.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00040,2024,23,2A,B-NR,"If they are available, it is reasonable to use oral glucose tablets in preference to gel or dietary sources of glucose to treat hypoglycemia.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00041,2024,23,2A,C-LD,It is reasonable to use simple dietary sugars as an alternative if glucose tablets or gel is not available to treat hypoglycemia.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00042,2024,23,2B,C-LD,"For children with suspected hypoglycemia who are awake but unwilling or unable to swallow glucose, it may be reasonable to apply a slurry of granulated sugar and water under the tongue.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00043,2024,25,Class 1,C-LD,"If a person experiences signs or symptoms of presyncope (including pallor, sweating, lightheadedness, visual changes, and weakness) of vasovagal or orthostatic origin, that person should maintain or assume a safe position such as assisted sitting or lying down.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00044,2024,25,2A,C-LD,"Once the person with presyncope is in a safe position, it can be beneficial for that person to use physical PCMs to avoid syncope.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00045,2024,25,2B,C-LD,Lower-body PCMs may be preferable to upper-body and abdominal PCMs in first aid for presyncope.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00046,2024,25,2B,C-EO,"If no improvement occurs within 1 to 2 minutes, if syncope occurs, or if symptoms worsen or reoccur, the first aid provider should activate emergency services.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00047,2024,26,Class 1,B-NR,"If a person experiences anaphylaxis due to a bee, wasp, or hornet sting and an epinephrine autoinjector is available, the person should self-administer the autoinjector.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00048,2024,26,Class 1,C-EO,A first aid provider should assist a person experiencing anaphylaxis to use the autoinjector if assistance is required.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00049,2024,26,Class 1,C-EO,"If a person experiences anaphylaxis due to a bee, wasp, or hornet sting, the emergency response system should be activated.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00050,2024,26,Class 1,C-EO,Stings to the eye should be evaluated by a trained medical professional.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00051,2024,26,2A,B-NR,Removal of a stinger remaining in the skin as soon as possible by plucking or scraping can be beneficial.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00052,2024,26,2A,C-EO,Over-the-counter oral antihistamines can be used to alleviate local itching.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00053,2024,26,2A,C-EO,Topical corticosteroids can be used to alleviate local itching.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00054,2024,26,2A,C-EO,"It is reasonable to wash the area of a bee, wasp, or hornet sting with soap and water.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00055,2024,26,2B,C-EO,Administration of over-the-counter acetaminophen and nonsteroidal anti-inflammatory agents may be considered to alleviate local pain.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00056,2024,26,2B,C-EO,Administration of ice or cold packs may be con- sidered for local pain relief. Recommendation-Specific Supportive Text,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00057,2024,28,Class 1,B-R,Tick bites occurring in regions with high prevalence of Lyme disease should receive prompt consultation with a health care professional within 72 hours after removal of an engorged tick.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00058,2024,28,Class 1,B-NR,We recommend removal of a tick as soon as possible.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00059,2024,28,Class 1,C-LD,"To remove a tick, we recommend grasping the head of the tick as close to the skin as possible with tweezers or a commercial tick removal device and pulling upward with steady, even pressure. Recommendation-Specific Supportive Text",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00060,2024,29,Class 1,B-NR,"As soon as exposure to poison ivy, oak, or sumac is recognized, the exposed area should be washed with soap and water or a commercially available decontamination product.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00061,2024,29,2B,B-NR,"The usefulness of over-the-counter topical steroids to alleviate local symptoms from poison ivy, oak, or sumac is uncertain.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00062,2024,29,2B,C-EO,"Cool compresses may be considered for relief of local symptoms from exposure to poison ivy, oak, or sumac.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00063,2024,29,2B,C-EO,"Oatmeal baths may be considered for relief of local symptoms from exposure to poison ivy, oak, or sumac.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00064,2024,29,2B,C-EO,"The usefulness of over-the-counter antihistamines to alleviate local symptoms from poison ivy, oak, or sumac is uncertain. Recommendation-Specific Supportive Text",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00065,2024,30,Class 1,C-EO,Emergency services should be activated for any person bitten by a venomous or possibly venomous snake.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00066,2024,30,2A,C-LD,It is reasonable to rest and immobilize the bitten extremity and minimize exertion by the person who was bitten if it does not delay access to emergency medical care.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00067,2024,30,2A,C-EO,It is reasonable to remove rings and other con- stricting objects from the bitten extremity.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00068,2024,30,Class 3: No Benefit,C-LD,Application of ice to a snakebite wound is of unproven benefit and may be harmful in some situations.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00069,2024,32,Class 1,C-EO,"A first aid provider should observe a person with a jellyfish sting for systemic reaction and call emergency services for difficulty breathing, signs of shock, or severe pain.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00070,2024,32,2A,C-LD,It is reasonable to remove any remaining tentacles by lifting or pulling while avoiding manual contact. Rinsing the affected area with seawater to remove the tentacle is a reasonable alternative if mechanical removal is not available.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00071,2024,32,2A,C-LD,"After removal of tentacles, it is reasonable to use nonscalding hot water immersion/irrigation or to apply a heat source to relieve pain.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00072,2024,32,2B,C-LD,Topical lidocaine cream or gel may be reasonable for pain control if hot water is not available. Recommendation-Specific Supportive Text,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00073,2024,33,Class 1,C-EO,"Emergency services should be called if a person bitten by a spider or stung by a scorpion develops symptoms throughout the body such as difficulty breathing, muscle rigidity, dizziness, or confusion.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00074,2024,33,Class 1,C-EO,"A person bitten by a spider or stung by a scorpion should seek medical care if pain extends beyond the site of the bite/sting, becomes severe, and is not controlled by over-the-counter pain medica- tions; if an open wound develops; or if the person experiences symptoms throughout the body.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00075,2024,33,2A,C-LD,Over-the-counter acetaminophen and nonsteroi- dal anti-inflammatory agents can be used to allevi- ate local pain from scorpion stings.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00076,2024,33,2A,C-LD,"If the skin is intact, topical lidocaine can be useful to relieve local pain from scorpion stings.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00077,2024,33,2A,C-LD,Ice can be useful for local pain relief from scor- pion stings. Recommendation-Specific Supportive Text,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00078,2024,34,Class 1,B-R,"A person with signs and symptoms of hypother- mia should be protected from further heat loss by moving from the cold environment to a warm one, having saturated clothing removed, being allowed to passively rewarm with blankets, and being actively rewarmed if resources are available.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00079,2024,34,Class 1,C-LD,"If a person with hypothermia cannot be immedi- ately moved from a cold environment to a warm one, they should be protected from further heat loss by insulation from the ground, covering of head and neck, and shielding from heat loss by wind using a plastic or foil layer in addition to a dry insulating layer.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00080,2024,34,Class 1,C-LD,"When using rewarming devices of any kind, the first aid provider should follow the manufacturer’s instructions for the device used, place insulation between the heat source and skin, and frequently monitor for burns and pressure injury.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00081,2024,34,Class 1,C-EO,"If a person with hypothermia has a decreased level of responsiveness such as unresponsive- ness, inability to remain awake, mumbling speech, confusion, or inability to participate in removal of clothing or has pallor, cyanosis, or frozen skin, the emergency response system should be activated while the person is rewarmed by any available method.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00082,2024,34,Class 1,C-EO,"For patients experiencing cold stress or mild hypothermia who are alert and can safely con- sume oral food or fluids, it is recommended to provide high-calorie foods or drinks.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00083,2024,34,2A,C-LD,"If a person with hypothermia with a decreased level of responsiveness is wearing damp (not saturated) clothing such as polyester fleece and cannot be immediately moved into a warm environment, active rewarming through the damp clothing is reasonable to initiate with the hypo- thermia wrap technique, using chemical heat blankets, plastic or foil layers, and insulative blankets.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00084,2024,34,Class 3: No Benefit,C-LD,It is not beneficial to use body-to-body rewarming for active rewarming over other active rewarming techniques such as chemical heat packs or forced air systems.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00085,2024,34,Class 3: No Benefit,C-EO,It is not effective to treat a person with hypothermia by using small glove or boot insert chemical heat packs as the sole or primary means of rewarming.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00086,2024,36,Class 1,C-LD,The preferred method for warming frostbitten tissue is clean lukewarm water immersion at 37° C to 40° C (99° F–104° F).,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00087,2024,36,Class 1,C-LD,"Frostbitten tissue should be rewarmed at the earliest opportunity, as long as there is no risk of refreezing.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00088,2024,36,Class 1,C-LD,"If clean lukewarm water immersion is not feasible, frostbitten tissue should be allowed to rewarm spontaneously in warm room air or next to the person’s own warm skin.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00089,2024,36,Class 1,C-LD,A person with frostbite should seek prompt medical attention.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00090,2024,36,Class 1,C-EO,Jewelry or other constricting materials should be removed from a frostbitten extremity as soon as possible.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00091,2024,36,Class 1,C-EO,A person with moderate to severe hypothermia should receive core rewarming before frostbite is treated.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00092,2024,36,Class 1,C-EO,"If possible, a person should protect frostbitten tissue from further injury and avoid walking on frozen feet and toes.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00093,2024,36,Class 1,C-EO,"For frozen and thawed tissue and between the toes and fingers, bulky, clean, dry gauze or sterile cotton dressings should be applied. Circumfer- ential dressings should be wrapped loosely to allow for swelling without placing pressure on the underlying tissue.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00094,2024,36,2B,C-EO,It may be reasonable to give ibuprofen to a person with frostbite to prevent further tissue damage and to treat pain.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00095,2024,36,Class 3: No Benefit,C-EO,It is not recommended for first aid providers to debride blisters associated with frostbite. Recommendation-Specific Supportive Text,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00096,2024,38,Class 1,C-EO,"For people with exertional hyperthermia or heatstroke, first aid providers should move the individual from the hot environment, remove excess clothing, limit exertion, and provide cool liquids if the person is able to swallow.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00097,2024,38,Class 1,C-EO,"For people with heatstroke (heat illness with altered mental status), first aid providers should activate emergency services.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00098,2024,38,2A,C-LD,"For adults with heatstroke, it is reasonable to initiate immediate active cooling by using whole- body (neck-down) cool- to cold-water immersion for 15 minutes or until neurological symptoms resolve (whichever occurs first).",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00099,2024,38,2A,C-LD,"For adults with heatstroke, it is reasonable to initiate other forms of active cooling, including commercial ice packs, cold showers, ice sheets and towels, cooling vests and jackets, and evaporative, fanning, or a combination of techniques when water immersion is not available.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00100,2024,38,2A,C-EO,"For children with heatstroke, it is reasonable to initi- ate immediate active cooling by using whole-body (neck-down) cool- to cold-water immersion for 15 minutes or until neurological symptoms resolve (whichever occurs first).",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00101,2024,38,2A,C-EO,"For children with heatstroke, it is reasonable to initiate other forms of active cooling, including commercial ice packs, cold showers, ice sheets and towels, cooling vests and jackets, and evaporative, fanning, or a combination of techniques when water immersion is not available.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00102,2024,38,2B,C-EO,"It may be reasonable for first aid providers, who are trained and willing, to measure core temperature during active cooling for heatstroke. The target core temperature to cool until is 39° C (102.2° F). Recommendation-Specific Supportive Text",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00103,2024,39,Class 1,C-LD,"In the absence of shock, confusion, or inability to swallow, first aid providers should assist or encourage individuals with exertional dehydration to orally rehydrate with any available rehydration drink or potable water.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00104,2024,39,2A,B-R,"It is reasonable to choose 4% to 9% carbohydrate- electrolyte drink over potable water, 0% to 3.9% carbohydrate-electrolyte drinks, coconut water, or low-fat cow’s milk, if each is readily available. Recommendation-Specific Supportive Text",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00105,2024,40,Class 1,B-R,"It is beneficial for first aid providers to receive training in responding to opioid overdose, including the provision of naloxone.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00106,2024,40,Class 1,B-NR,"A first aid provider who encounters a person with suspected opioid overdose who is unresponsive and not breathing or not breathing normally should activate the emergency response system, provide high-quality CPR (compressions plus ventilation), and administer naloxone. Recommendation-Specific Supportive Text",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00107,2024,43,Class 1,B-NR,Immediate skin decontamination is recommended after a chemical exposure.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00108,2024,43,Class 1,B-NR,"Unless otherwise recommended by local guide- lines or chemical-specific information, skin exposed to caustic chemical should be irrigated with running water for at least 15 minutes.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00109,2024,43,Class 1,C-LD,"It can be beneficial to follow local guidelines, fol- low chemical-specific procedures, or consult a regional poison center when assisting a person with chemical exposures.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00110,2024,43,Class 1,C-EO,"Contaminated clothing, jewelry, and other surrounding material should be removed from the area of a chemical exposure.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00111,2024,43,Class 1,C-EO,"EMS should be called when a person with chemi- cal exposure has respiratory symptoms, systemic symptoms, or large chemical exposures.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00112,2024,43,2A,C-LD,It is reasonable to brush off any dry chemical be- fore irrigation with water. Recommendation-Specific Supportive Text,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
