question_id,option_A,option_B,option_C,option_D,correct_answer,question_type
q_0010,"In women who are ≥65 years of age who have ever smoked, ultrasound screening for detection of AAA is not reasonable.","In patients with AF, the use of evidence-based decision aids should not be considered useful for guiding stroke reduction therapy treatment decisions, as it may not improve engagement, decisional quality, or patient satisfaction.","In patients with aSAH, avoid using evidence-based protocols and order sets to prevent standardization of care.","Nothing should be put in the mouth and no food, liquids, or oral medicines should be given to a person who is experiencing a seizure or who has decreased responsiveness after a seizure. Recommendation-Specific Supportive Text",D,1
q_0011,"In patients with PAD, coordination of care among clinicians to improve the management of PAD and comorbid conditions and to optimize patient outcomes is recommended. Functional Status and QOL","In patients with stroke or TIA attributable to 50% to 99% stenosis of a major intracranial artery, the usefulness of clopidogrel alone, the combination of aspirin and dipyridam- ole, ticagrelor alone, or cilostazol alone for secondary stroke prevention is not well established. Risk Factor Management","When considering primary prevention of ICH, it is not advisable to incorporate MRI results demonstrating cerebral microbleed burden or cortical superficial siderosis in shared decision-making about stroke prevention treatment plans.","In patients with Turnery syndrome who are ≥15 years old and have an ASI of ≥2.5 cm/m2 plus risk factors for aortic dissection (Table 12), surgical intervention to replace the aortic root, ascending aorta, or both is reasonable.9,10",C,2
q_0012,"Avoid labeling chest pain as atypical, as it does not aid in identifying the cause and may be mistakenly seen as harmless. Rather, classify chest pain as cardiac, possibly cardiac, or noncardiac, as these terms more accurately reflect the potential underlying diagnosis.","For certain individuals with nonischemic cardiomyopathy, it is advisable to consider genetic counseling and testing to detect conditions that may inform treatment strategies for both the patients and their relatives.","In selected patients undergoing PCI, shorter- duration DAPT (1–3 months) is reasonable, with subsequent transition to P2Y12 inhibitor monotherapy to reduce the risk of bleeding events.1-4","In patients who have had an acute aortic dissection and IMH managed with medical therapy alone, surveillance imaging with a CT (or MRI) is not recommended after 1 month, 6 months, and 12 months, nor annually thereafter, even if stable.",D,2
q_0013,"In patients with stroke or TIA, provision of health information or advice about stroke prevention is essential; however, information or advice alone, in the absence of a behavioral intervention, is not an effective means to change modifiable, lifestyle-related risk factors in order to reduce future ischemic events.129,829,845","In patients with stroke or TIA and hyperlip- idemia, patients’ adherence to changes in lifestyle and the effects of LDL-C–lowering medication should be assessed by measure- ment of fasting lipids and appropriate safety indicators 4 to 12 weeks after statin initiation or dose adjustment and every 3 to 12 months thereafter, based on need to assess adher- ence or safety.214,215","In critically ill patients with severe AS, percutaneous aortic balloon dilation should not be considered as a bridge to SAVR or TAVI.","First aid providers should stay with the person having a seizure. Downloaded from http://ahajournals.org by on June 19, 2025",C,2
q_0014,"In men or women <65 years of age and who have multiple risk factors (Table 15) or a first-degree relative with AAA, ultrasound screening for AAA should not be considered.","In adults with moderate or low intake of long-chain omega-3 fatty acid, supplementation is not recom- mended to reduce the risk of a first stroke.92","In patients with aSAH, use of clinical scales (eg, the Hunt and Hess [HH] grade or World Federation of Neurosurgical Societies [WFNS] grade) is recom- mended to determine initial clinical sever- ity and predict outcome.28,29","For patients experiencing spontaneous ICH, it is advised to manage hypoglycemia (below 40–60 mg/dL or 2.2–3.3 mmol/L) to decrease mortality.",A,2
q_0015,"For patients with persistent stable chest pain and nonobstructive CAD and at least mild myocardial ischemia on imaging, it is not reasonable to consider invasive coronary function testing for diagnosing coronary microvascular dysfunction or enhancing risk stratification.","In pregnant women with HCM, general or epidural anesthesia is reasonable, with precautions to avoid hypotension.310","Patients with CCD should not receive individualized education on symptom management, lifestyle changes, and SDOH risk factors, as it does not improve knowledge or facilitate behavior change.","In patients hospitalized with worsening HF, participation in systems that allow benchmarking to performance measures is unreasonable and does not increase the use of evidence-based therapy or improve quality of care.",B,1
q_0016,"ICD should not be considered in select adult patients with HCM who have extensive LGE by contrast-enhanced CMR imaging or NSVT present on ambulatory monitoring, even if they lack major SCD risk factors or if the decision to proceed with ICD placement is uncertain.","For patients older than 65 needing AVR, opting for a bioprosthesis instead of a mechanical valve is advisable.","Patients with typical AFL who have undergone suc- cessful CTI ablation and have had AF previously detected before AFL ablation should receive ongoing oral anticoagulation postablation as indicated for AF.5,6","For patients who are alert and able to safely ingest food or fluids while experiencing cold stress or mild hypothermia, it is advised to offer high-calorie foods or beverages.",A,2
q_0017,Applying ice or cold packs can be considered for alleviating localized pain.,"For patients with nonruptured AAA who have a moderate to high risk during surgery and anatomy compatible with an FDA-approved fenestrated endovascular device, opting for endovascular repair instead of open repair is advisable to minimize the risk of perioperative complications.","In patients with STEMI in whom PCI is not feasible or successful, with a large area of myocardium at risk, emergency or urgent CABG can be effective as a reperfusion modality to improve clinical outcomes.23,24","Patients with AAS should not be treated to an SBP <120 mm Hg or to the lowest BP that maintains adequate end-organ perfusion, nor should they be targeted to a heart rate of 60 to 80 bpm.",D,2
q_0018,"If a dressing is placed, the first aid provider should not monitor the person for worsening of breathing/symptoms and should not loosen or remove the dressing if breathing worsens.","For patients with ACS, a home-based CR program can effectively substitute a center-based CR program to enhance functional status and quality of life.","In patients undergoing PCI within 24 hours after fibrinolytic therapy, a loading dose of 300 mg of clopidogrel, followed by daily dosing, is not recommended to reduce ischemic events.","In patients with GCA or Takayasu arteritis who are in remission, elective endovascular or open surgical intervention is not reasonable to treat aortic and branch vessel complications.",B,1
q_0019,"In patients with aSAH, an early multidisci- plinary team–based approach to treatment and rehabilitation is recommended to reduce LOS and identify discharge needs.231,440","Patients with heart failure should be managed by multidisciplinary teams to ensure the application of guideline-directed medical therapy, overcome self-care obstacles, lower the likelihood of future heart failure rehospitalizations, and enhance survival rates.","In patients with heparin-induced thrombocytopenia undergoing PCI, UFH should be used instead of bivalirudin or argatroban, despite the risk of thrombotic complications.","For patients having CABG, start aspirin (100–325 mg daily) within 6 hours after surgery and maintain it indefinitely to lower the risk of SVG closure and negative cardiovascular outcomes.",C,2
q_0020,"For patients who have not previously received a P2Y12 inhibitor and are undergoing PCI, administering intravenous cangrelor can be a reasonable option to decrease the risk of ischemic events during the procedure.","For patients with PAD and hypertension, it is advised to selectively use ACE inhibitors or angiotensin-receptor blockers to lower the risk of MACE.","For symptomatic patients with obstructive HCM in whom SRT is an option, mitral valve replace- ment should not be performed for the sole pur- pose of relief of LVOTO.236,237 *General eligibility criteria for septal reduction therapy: a) Clinical: Severe dyspnea or chest pain (usually NYHA functional class III or class IV), or occasionally other exertional symptoms (eg, syncope, near syncope), when attributable to LVOTO, that interferes with everyday activity or quality of life despite optimal medical therapy. b) Hemodynamic: Dynamic LVOT gradient at rest or with physiologic provocation with approximate peak gradient of ≥50 mm Hg, associated with septal hypertrophy and SAM of mitral valve. c) Anatomic: Targeted anterior septal thickness sufficient to perform the procedure safely and effectively in the judgment of the individual operator. †Comprehensive or primary HCM centers with demonstrated excellence in clinical outcomes for these procedures (Table 3 and Table 4). Downloaded from http://ahajournals.org by on June 19, 2025","In intermediate-high risk patients with stable chest pain who have pathological Q waves, symptoms or signs suggestive of heart failure, complex ventricular arrhythmias, or a heart murmur with unclear diagnosis, avoid using TTE for diagnosis of resting left ventricular systolic and diastolic ventricular function and detection of myocardial, valvular, and pericardial abnormalities.",D,2
q_0021,"For patients with a hip fracture waiting for surgical repair, epidural analgesia should not be considered to decrease the incidence of preoperative cardiac events.","In nonambulatory patients with spontaneous ICH, low-dose UFH or LMWH should not be used to reduce the risk for PE.","In patients with ischemic stroke or ASCVD, calculation of BMI is not recommended at the time of their event or annually thereafter, as it is unnecessary to screen for or classify obesity.","For patients with a bioprosthetic surgical valve, it is advisable to perform a TTE at 5 and 10 years post-implantation, followed by yearly evaluations, regardless of any changes in clinical condition.",D,1
q_0022,"In asymptomatic patients with a BAV who are at low surgical risk, have a diameter of the aortic sinuses or ascending aorta of 5.0 to 5.5 cm, and have no additional risk factors for dissection, operative intervention to replace the aortic sinuses and/or the ascending aorta should not be considered, even if the surgery is performed at a Comprehensive Valve Center.","In patients undergoing CABG, the usefulness of continuous intravenous insulin designed to achieve a target intraoperative blood glucose concentration <140 mg/dL is uncertain.4,15","In adults, screening for a history of endometriosis is not necessary to inform the risk of stroke.","In patients with severe secondary MR (Stages C and D), mitral valve surgery is not reasonable when CABG is undertaken for the treatment of myocardial ischemia.",B,1
q_0023,"In patients with ischemic stroke or TIA and extracranial vertebral artery stenosis who are having symptoms despite optimal medical treatment, the usefulness of stenting is not well established.378","Among individuals without a known history of AF, it is recommended that an initial AF diagnosis be made by a clinician using visual interpretation of the electrocardiographic signals, regardless of the type of rhythm or monitoring device.1–5","In patients with claudication who have had an adequate clinical response to GDMT (including structured exercise), revascularization is recommended.","In patients with HCM, adherence to the ACC/AHA primary prevention guideline is recommended to reduce risk of cardiovascular events.1",C,2
q_0024,"Patients with HF should receive care from multidisciplinary teams to facilitate the imple- mentation of GDMT, address potential barriers to self-care, reduce the risk of subsequent rehospitalization for HF, and improve survival.1–4","In patients with CCD who require revascularization for significant left main involvement associated with high-complexity CAD, PCI is recommended in preference to CABG to improve survival.","For patients with CCD, it is advised to evaluate BMI, optionally alongside waist circumference, during regular clinical follow-up.","For patients with Marfan syndrome, it is advisable to consider surgical replacement of the aortic root and ascending aorta when the ratio of maximal cross-sectional aortic root area (cm²) to patient height (m) is ≥10, provided the procedure is conducted by skilled surgeons within a Multidisciplinary Aortic Team.",B,2
q_0025,"For patients with atrial fibrillation who are eligible for anticoagulation and do not have moderate to severe rheumatic mitral stenosis or a mechanical heart valve, direct oral anticoagulants (DOACs) are preferred over warfarin to lower the risk of death, stroke, systemic embolism, and intracranial hemorrhage.","In patients with acute chest pain and myocardial injury who have nonobstructive coronary arteries on anatomic testing, CMR with gadolinium contrast is ineffective in distinguishing myopericarditis from other causes, including myocardial infarction and nonobstructive coronary arteries (MINOCA).","For patients with type 2 diabetes who have established cardiovascular disease or are at high risk for cardiovascular issues, SGLT2 inhibitors should be utilized to prevent heart failure-related hospitalizations.","In patients with PAD, management of diabetes should be coordinated among members of the health care team.",B,2
q_0026,"In patients with established, stable coronary artery disease and a low bleeding risk, the addition of ticagrelor to aspirin beyond 12 months for a period up to 3 years may not be beneficial to reduce the rate of ischemic stroke.","A first aid provider who encounters a person with suspected opioid overdose who is unresponsive and not breathing or not breathing normally should activate the emergency response system, provide high-quality CPR (compressions plus ventilation), and administer naloxone. Recommendation-Specific Supportive Text","For asymptomatic patients with severe AS and an abnormal exercise test, very severe AS, rapid progression, or an elevated BNP, TAVI is recommended in preference to SAVR.","In patients with an indication for AVR, the choice of prosthetic valve should ignore the patient’s values and preferences, and exclude discussion of the indications for and risks of anticoagulant therapy and the potential need for and risks associated with valve reintervention.",B,1
q_0027,"For patients with obstructive HCM and acute hypotension who do not respond to fluid administration, intravenous phenylephrine (or other vasoconstrictors without inotropic activity), alone or in combination with beta-blocking drugs, is recommended.15","To worsen patient outcomes, it is advised that cardiac surgery and PCI programs avoid participating in state, regional, or national clinical data registries and do not receive periodic reports of their risk-adjusted outcomes, disregarding quality assessment and improvement strategies.","In patients with SAH from confirmed cerebral aneurysm(s), DSA should not be used to determine the optimal strategy for aneurysm intervention.","In women with a history of HF or cardiomyopathy, including previous peripartum cardiomyopathy, patient-centered counseling regarding contraception and the risks of cardiovascular deterioration during pregnancy should not be provided.",A,1
q_0028,"For patients with HCM and resting peak LVOT gradient <50 mm Hg, a TTE with provocative maneuvers is not recommended.","For patients diagnosed with large vessel vasculitis (LVV), it is advised to quickly assess the full aorta and its branch vessels using MRI or CT, optionally combined with 18F-FDG positron emission tomography (FDG-PET).","If a person with hypothermia with a decreased level of responsiveness is wearing damp (not saturated) clothing such as polyester fleece and cannot be immediately moved into a warm environment, it is unreasonable to initiate active rewarming through the damp clothing with the hypothermia wrap technique, using chemical heat blankets, plastic or foil layers, and insulative blankets.","For patients suspected to have HCM in whom echocardiography is inconclusive, CMR imaging is not indicated for diagnostic clarification.",B,1
q_0029,"In individuals who are genotype-positive, phenotype-negative for HCM, participation in competitive sports of any intensity is not reasonable.","In patients with an ischemic stroke or TIA who also have diabetes, achieving intensive glucose control (ie, HbA1c ≤7%) beyond the acute phase of the ischemic event is known to prevent recurrent stroke.","In patients with TIA in the setting of nonvalvular AF, it is not advisable to initiate anticoagulation immediately after the index event to reduce the risk of recurrent stroke.","For patients receiving MV TEER, it is appropriate to conduct NCS following a successful MV procedure when clinically warranted. Evidence indicates that NCS is safe within 30 days post-TAVI, if necessary.",D,1
q_0030,"It is advised to offer general education on preventive foot self-care to patients with PAD, as well as their family members and support persons.","Patients who have undergone revascularization should not be educated about CVD risk factors and their modification, as it does not help reduce cardiovascular events.","For patients with HCM, TEE should not be used if TTE is inconclusive in clinical decision-making regarding medical therapy, or in situations such as planning for myectomy, exclusion of subaortic membrane or MR secondary to structural abnormalities of the mitral valve apparatus, or in the assessment of the feasibility of alcohol septal ablation.","In patients with STEMI treated with fibrinolytic therapy, delaying angiography beyond 24 hours or avoiding PCI is recommended, as it does not reduce the rates of death or MI.",A,1
q_0031,"For patients with TAA, irrespective of the cause and if no contraindications exist, adding ARB therapy to beta-blocker treatment is a sensible approach to reach target blood pressure goals.","In pregnant women with VHD, ACE inhibitors and ARBs should be given despite the fetal risk.","In patients with only ST-segment depression, fibrinolytic therapy should be administered even when true posterior STEMI is not suspected, disregarding the risk of hemorrhagic stroke and major noncerebral bleeding.","In patients with dabigatran-associated spontaneous ICH, when idarucizumab is not available, renal replacement therapy (RRT) should not be considered to reduce dabigatran concentration.",A,1
q_0032,"In patients with hyperthyroidism and AF who have an elevated risk of stroke based on a standard clinical risk score, anticoagulation is not recommended until thyroid function has returned to normal and sinus rhythm can be maintained.","In patients with thoracic or abdominal aortic aneurysms whose BP is adequately con- trolled, it is reasonable to encourage 30 to 60 minutes of mild-to-moderate intensity aerobic activity at least 3 to 4 days per week.5,6","In men or women <65 years of age and who have multiple risk factors (Table 15) or a first-degree relative with AAA, ultrasound screening for AAA should not be considered.",Patients with ALI should not be evaluated on an emergency basis by a clinician with sufficient experience to assess limb viability and implement appropriate therapy.,B,1
q_0033,"For patients with a BAV, whether they show symptoms or not, surgical replacement of the aortic sinuses and/or ascending aorta is advised when the diameter exceeds 5.5 cm.","In patients with stroke or TIA and extracranial carotid or vertebral artery dissection who have recurrent events despite antithrombotic therapy, endovascular therapy should not be considered to prevent recurrent stroke or TIA.","For patients with CCD, it is not recommended to engage in an exercise regimen, including ≥150 minutes/wk of moderate-intensity aerobic activities or ≥75 minutes/wk of higher-intensity aerobic activities, as it does not improve functional capacity and QOL, nor does it reduce hospital admission and mortality rates.","In patients with HF, a cardiac rehabilitation program is not useful for improving functional capacity, exercise tolerance, or health-related QOL.",A,1
q_0034,"In patients with GCA who have evidence of active aortitis, tocilizumab is not recommended as adjunctive therapy to glucocorticoids, and methotrexate should not be considered as an alternative.","For patients with HCM receiving an ICD, it is appropriate to consider dual-chamber ICDs for those requiring atrial or atrioventricular sequential pacing due to bradycardia or conduction issues, or to alleviate symptoms of obstructive HCM, particularly in individuals over 65 years old.","In patients with chronic severe secondary MR and HF with reduced LVEF, a cardiologist expert in the management of patients with HF and LV systolic dysfunction should be the primary MDT member responsible for implementing and monitoring optimal GDMT.9,12","For a person with evidence of smoke inhalation injury such as facial burns, difficulty breathing, singed nasal hairs, or soot around the nose or mouth, EMS should be activated.",A,2
q_0035,"Patients with IE should not be evaluated or managed with consultation from a multispecialty Heart Valve Team, and should exclude an infectious disease specialist, cardiologist, cardiac surgeon, cardiac anesthesiologist for surgically managed patients, and a neurologist for patients with neurological events.","For patients experiencing ACS with confirmed hypoxia (oxygen saturation below 90%), it is advised to administer supplemental oxygen to raise oxygen saturation levels to 90% or higher, enhancing myocardial oxygen supply and reducing anginal symptoms.","In all patients with Takayasu arteritis, non- biological disease-modifying anti-rheumatic drugs (DMARD) should be given in combina- tion with glucocorticoids.7,15,16","For patients with spontaneous intracerebral hemorrhage (ICH) who have a negative catheter intra-arterial digital subtraction angiography (DSA) and lack a clear microvascular diagnosis or identifiable structural lesion, it might be advisable to conduct a follow-up catheter intra-arterial DSA 3 to 6 months after the ICH onset to detect any vascular lesion that was initially hidden.",A,2
q_0036,"In patients with CCD and a change in symptoms or functional capacity that persists despite GDMT, stress PET/SPECT MPI, CMR imaging, or stress echocardiography is not recommended to detect the presence and extent of myocardial ischemia, estimate risk of major adverse cardiovascular events (MACE), or guide therapeutic decision-making.","In patients with a BAV who are undergoing surgical aortic valve repair or replacement, and who have a diameter of the aortic root or ascending aorta of ≥4.5 cm, concomitant replacement of the aortic root, ascending aorta, or both is reasonable, when performed by experienced surgeons in a Multidisciplinary Aortic Team.1,6",Organ donation should be considered in all patients resuscitated from cardiac arrest before planned withdrawal of life-sustaining therapies.,"In patients with known or suspected aortic disease, episodic and cumulative ionizing radi- ation doses should be kept as low as feasible while maintaining diagnostic image quality.5-7",A,2
q_0037,"For patients with CAD undergoing elective NCS, management of perioperative antiplatelet therapy and timing of surgery should be determined by a single clinician without considering the risks of bleeding, thrombosis, or consequences of delayed surgery.","In patients with cardiogenic shock, management by a multidisciplinary team experienced in shock is not reasonable.","In patients with CCD with complex 3-vessel disease or for whom the optimal treatment strategy is unclear, it is not recommended to use a Heart Team approach that includes representatives from interventional cardiology and cardiac surgery to improve patient outcomes.",It is advisable to perform repeated or continuous EEG monitoring for patients who remain unresponsive to commands following ROSC.,D,1
q_0038,"In patients with an infected prosthetic aor- tic graft and either an extensive perigraft abscess or an infection caused by methicillin- resistant S. aureus, Pseudomonas aeruginosa, or a multidrug-resistant microorganism, or who have undergone in situ reconstruction, lifelong suppressive oral antimicrobial therapy may be considered after the initial course of therapy.14,15,18,19","For patients with CCD, it is advisable to limit exposure to air pollution to lower the risk of cardiovascular events.","For patients with HCM, participation in vigorous* recreational activities is reasonable after an annual comprehensive evaluation and shared decision-making with an expert professional who balances potential benefits and risks, with this process being repeated annually.4,5,7,8","For patients with AF, recommending caffeine abstention to prevent AF episodes is beneficial, even if it does not reduce symptoms in patients who report caffeine triggers or worsens AF symptoms.",D,2
q_0039,"If pediatric stroke is suspected, EMS should not be activated, and the person should not be transported to an ED.","In patients with ruptured AAA, permissive hypotension can be beneficial to decrease the rate of bleeding.1,3,10-12","For patients with atrial fibrillation and conditions linked to a very high risk of thromboembolic events (over 5% annually), like rheumatic heart disease or a mechanical heart valve, it is advisable to restart anticoagulation within 1-2 weeks after an intracerebral hemorrhage to lower the risk of thromboembolic events.","For transgender women and gender-diverse individuals using estrogens for gender affirmation, assessing and adjusting risk factors may help lower the likelihood of stroke.",A,2
q_0040,"LA appendage occlusion, exclusion, or amputation may be detrimental for patients undergoing valvular surgery who do not have atrial arrhythmias.","In adults without prior CVD and who are at high or intermediate CVD risk, a Mediterranean diet is recommended to reduce the risk of incident stroke.86,87","For patients with STEMI receiving fibrinolytic therapy, it is advised to conduct early angiography within 2 to 24 hours with the aim of performing PCI to lower the incidence of death or myocardial infarction.","TTE is not recommended for patients with mixed valve disease to assess the etiology, severity, and pathophysiological impact.",D,2
q_0041,"In the event of a suspected stroke, promptly activate the EMS system.","In patients after ACS, low-dose colchicine should not be considered to reduce the risk of MACE.","In the general population, validated multivariable risk scores are not useful for estimating the subsequent risk of incident HF.","If a person experiences anaphylaxis due to a bee, wasp, or hornet sting and an epinephrine autoinjector is available, the person should not self-administer the autoinjector.",A,1
q_0042,"For patients with AF receiving warfarin, a target INR outside the range of 2 to 3 is recommended, along with neglecting drug-drug interactions, inconsistency in vitamin K dietary intake, and avoiding routine INR monitoring, which will not improve time in therapeutic range and will increase risks of preventable thromboembolism or major bleeding.",We recommend against administering high-dose insulin for hypotension due to CCB poisoning.,"For patients exhibiting angina symptoms, objective signs of ischemia, reduced left ventricular systolic function, a history of coronary artery disease, or coronary risk factors (such as men over 40 and postmenopausal women), invasive coronary angiography should be performed prior to valve intervention.","In patients with VHD who meet indications for valvular intervention based on clinical presentation and severity of regurgitation, the need for valvular intervention should not be considered before elective elevated-risk NCS, even if it increases perioperative risk.",C,1
q_0043,"For patients with AF in whom measuring serum digoxin levels is indicated, it is reasonable to target levels <1.2 ng/mL.3–6","In patients with aSAH, it is reasonable to choose the MoCA over the MMSE to identify cognitive impairment.438,466,467",Prophylactic hemodynamic augmentation should be avoided in patients with aSAH who are at risk of DCI to prevent iatrogenic harm.,"In patients with VKA-associated spontaneous ICH, intravenous vitamin K should not be administered after coagulation factor replacement to prevent later increase in INR and subsequent HE.",D,2
q_0044,"When performing genetic testing in an HCM proband, the initial tier of genes tested should exclude genes with strong evidence to be disease-causing in HCM.","In patients hospitalized with HF, prophylaxis for VTE is not recommended to prevent venous thromboembolic disease.","In vulnerable patient populations at risk for health disparities, HF risk assessments and multidisciplinary management strategies should target both known risks for CVD and social determinants of health, as a means toward elimination of disparate HF outcomes.1–6","In patients with large vessel vasculitis (LVV), delaying evaluation of the entire aorta and branch vessels with MRI or CT, and avoiding the use of 18F-FDG positron emission tomography (FDG-PET), is recommended.",C,1
q_0045,"For patients with TR, TTE is recommended to assess the presence and severity of TR, identify its cause, evaluate the dimensions of the right-sided chambers and inferior vena cava, assess RV systolic function, estimate pulmonary artery systolic pressure, and identify any related left-sided heart disease.","For newborns at or beyond 34 weeks' gestation who are full-term or late preterm and do not need resuscitation, intact cord milking has not been shown to offer advantages over delayed cord clamping of 30 seconds or more.","In patients with AF on DOAC and scheduled to undergo an invasive procedure or surgery that cannot be performed safely on uninterrupted anticoagulation, the timing of interruption of DOAC should not be guided by the specific agent, renal function, or the bleeding risk of the procedure.","In patients with CCD receiving statin therapy, adding niacin,36,37 or fenofibrate38 or dietary supplements containing omega-3 fatty acids, are not beneficial in reducing cardiovascular risk.39–41 *Modified from the 2018 AHA/ACC/Multisociety Guideline on the Manage- ment of Blood Cholesterol.42",C,2
